"RONIX ERP","نظام رونيكس",""
"RONIX Contract","عقد رونيكس",""
"RONIX Claim","مطالبة رونيكس",""
"Contract Items","بنود العقد",""
"Payment Schedule","جدول الدفعات",""
"Approval Gates","بوابات الاعتماد",""
"Technical Approved","اعتماد فني",""
"Finance Approved","اعتماد مالي",""
"Management Approved","اعتماد الإدارة",""
"Approved for Contract","معتمد للتعاقد",""
"Project Cost Center","مركز تكلفة المشروع",""
"RONIX Project Profitability","ربحية مشاريع رونيكس",""
"RONIX Profitability","ربحية رونيكس",""
"Project Name","اسم المشروع",""
"Contract Value","قيمة العقد",""
"Invoiced","المفوتر",""
"Cash Collected","المحصل نقدًا",""
"Retention Held","الاحتجاز",""
"Withholding Held","الاستقطاع",""
"Outstanding","المستحق",""
"Actual Revenue","الإيراد الفعلي",""
"Actual Cost","التكلفة الفعلية",""
"Net Profit","صافي الربح",""
"Margin %","هامش الربح %",""
"Unbilled Contract","المتبقي غير المفوتر",""
